strategy_type,params,avg_deflated_sharpe,avg_sharpe,avg_return,avg_trades,cv_scores
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 1.5, 'take_profit_atr_multiplier': 4.0, 'move_sl_to_be_coef': 3.0, 'sl_to_be_add_pips_coef': 3.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-7.047721198176461,7.871508477014683,0.07667042353697387,92.2,"[np.float64(-4.684874783771671), np.float64(-6.994632679000806), np.float64(-5.968321470039201), np.float64(-9.748727946929357), np.float64(-7.842049111141269)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 1.5, 'take_profit_atr_multiplier': 4.0, 'move_sl_to_be_coef': 3.0, 'sl_to_be_add_pips_coef': 4.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-9.081593427843895,8.582721041996601,0.10773924043165299,92.2,"[np.float64(-6.877180297881841), np.float64(-8.457972760834506), np.float64(-7.908164447078795), np.float64(-12.104895364349037), np.float64(-10.059754269075292)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 2.5, 'move_sl_to_be_coef': 2.5, 'sl_to_be_add_pips_coef': 3.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-2.900769662554592,6.067643145723085,0.06011313562798072,92.2,"[np.float64(-2.9048669872808364), np.float64(-1.2846200948748632), np.float64(-3.6632904858961943), np.float64(-2.734610263305836), np.float64(-3.9164604814152293)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 2.5, 'move_sl_to_be_coef': 2.5, 'sl_to_be_add_pips_coef': 4.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-6.0762965262662645,7.490276204785117,0.09977428088167824,92.2,"[np.float64(-6.182059082742417), np.float64(-3.06113430628799), np.float64(-6.28963179730215), np.float64(-6.659852153312865), np.float64(-8.1888052916859)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 2.5, 'move_sl_to_be_coef': 3.0, 'sl_to_be_add_pips_coef': 3.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-1.4387752219054435,5.161608590510332,0.04618136728701343,92.2,"[np.float64(-0.8119525181918928), np.float64(-0.13236012931428304), np.float64(-2.6226151319198627), np.float64(-1.6372680195474696), np.float64(-1.989680310553709)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 2.5, 'move_sl_to_be_coef': 3.0, 'sl_to_be_add_pips_coef': 4.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-4.003643685014595,6.581650763043584,0.08028030837482972,92.2,"[np.float64(-3.3792916778554187), np.float64(-1.2955697598165408), np.float64(-4.826362670166215), np.float64(-5.089187581778654), np.float64(-5.42780673545615)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 3.0, 'move_sl_to_be_coef': 2.5, 'sl_to_be_add_pips_coef': 3.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-3.874447526501352,6.564619480472187,0.06762442686723032,92.2,"[np.float64(-4.471951008638223), np.float64(-1.9829745881896226), np.float64(-4.310686094783808), np.float64(-4.169945863665398), np.float64(-4.43668007722971)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 3.0, 'move_sl_to_be_coef': 2.5, 'sl_to_be_add_pips_coef': 4.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-6.944960839469357,7.829594865039192,0.10617393709624348,92.2,"[np.float64(-7.593559477211069), np.float64(-3.8184961815174474), np.float64(-6.900189545276738), np.float64(-7.982271178012924), np.float64(-8.430287815328603)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 3.0, 'move_sl_to_be_coef': 3.0, 'sl_to_be_add_pips_coef': 3.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-2.3833117135074877,5.776837418205228,0.054751448005334956,92.2,"[np.float64(-2.0965946099476733), np.float64(-0.8470812349099097), np.float64(-3.3736713993371277), np.float64(-3.005923586316919), np.float64(-2.593287737025808)]"
longs_only,"{'min_confidence_threshold': 0.5, 'max_entries_per_position': 3, 'position_size_pct': 0.07, 'stop_loss_atr_multiplier': 2.0, 'take_profit_atr_multiplier': 3.0, 'move_sl_to_be_coef': 3.0, 'sl_to_be_add_pips_coef': 4.5, 'rsi_period': 14, 'bb_period': 20, 'bb_std': 2.0, 'momentum_period': 14, 'volume_threshold': 1.0, 'breakout_threshold': 0.001, 'touch_tolerance': 0.001}",-4.889185375093401,6.996606470731099,0.0874914099805417,92.2,"[np.float64(-4.633828414903728), np.float64(-2.0642306838368167), np.float64(-5.553532560427281), np.float64(-6.381662454885963), np.float64(-5.812672761413218)]"
