date,direction,entry_price,exit_price,pnl_pct,dollar_pnl,cumulative_pnl,position_size,num_entries,strategies,confidence,exit_reason
2020-01-01,short,7214.69,7206.988214285714,0.0010675144343395915,1120.8901560565707,1120.8901560565707,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.07906403876354463,take_profit
2020-01-02,short,7152.256666666667,7159.108095238095,-0.0009579394155916552,-1005.8363863712377,115.05376968533301,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.07237487842590538,stop_loss
2020-01-03,short,6962.856666666667,6947.983452380952,0.0021360793418191354,2242.8833089100917,2357.9370785954247,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.07958191358074548,take_profit
2020-01-04,short,7352.573333333334,7342.635833333334,0.001351567614422524,1419.14599514365,3777.0830737390747,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.14713084464645887,take_profit
2020-01-05,short,7405.246666666666,7391.6466666666665,0.001836535717468712,1928.3625033421472,5705.445577081222,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.169360117208166,take_profit
2020-01-06,short,7392.556666666666,7372.547738095238,0.0027066317478024213,2841.9633351925418,8547.408912273764,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.12612773268395358,take_profit
2020-01-07,short,7911.099999999999,7862.094642857142,0.006194506091802286,6504.231396392399,15051.640308666163,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.27571535030919625,take_profit
2020-01-08,short,8383.456666666667,8352.935238095239,0.003640673505570088,3822.7071808485916,18874.347489514756,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.6054637132073275,take_profit
2020-01-09,short,7990.026666666666,8008.05238095238,-0.002256026799123882,-2368.8281390800757,16505.51935043468,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.2923293402818132,stop_loss
2020-01-10,short,7748.343333333333,7781.7733333333335,-0.004314470663191266,-4530.194196350828,11975.32515408385,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.10809429468039938,stop_loss
2020-01-11,short,8219.313333333334,8184.323886904762,0.004256979264517435,4469.828227743305,16445.153381827156,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.24860656026091257,trailing_stop
2020-01-12,short,8080.4800000000005,8058.556785714286,0.002713107920038722,2848.7633160406576,19293.916697867815,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.25618119752640695,take_profit
2020-01-13,short,8106.896666666667,8115.51380952381,-0.0010629397673925893,-1116.0867557622184,18177.829942105596,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.17362005855571908,stop_loss
2020-01-14,short,8155.0233333333335,8114.9394047619035,0.004915243885028338,5161.006079279753,23338.83602138535,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.06733312435547384,take_profit
2020-01-15,short,8766.146666666667,8737.914523809524,0.0032205875546773627,3381.61693241123,26720.45295379658,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.41556249115663757,take_profit
2020-01-16,short,8686.723333333333,8698.731904761906,-0.001382405190976006,-1451.525450524806,25268.927503271774,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.2123565922007263,stop_loss
2020-01-17,short,8747.6,8721.644642857143,0.0029671403748293113,3115.4973935707762,28384.42489684255,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.16158618169908337,take_profit
2020-01-18,short,8947.480000000001,8926.542500000001,0.0023400443476822522,2457.046565066364,30841.471461908914,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.18916066912360577,take_profit
2020-01-19,short,8967.06,8940.717142857142,0.0029377362416285395,3084.623053709966,33926.09451561888,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.13447839906701878,take_profit
2020-01-20,short,8675.846666666666,8690.430952380952,-0.0016810216079912142,-1765.0726883907746,32161.02182722811,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.1589674181822193,stop_loss
2020-01-21,short,8676.443333333333,8635.830399672619,0.004680827396715207,4914.868766550966,37075.89059377908,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.1221120342034065,trailing_stop
2020-01-22,short,8737.126666666667,8749.550952380952,-0.0014220104833418189,-1493.1110075089096,35582.77958627017,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.1221244587341259,stop_loss
2020-01-23,short,8590.226666666667,8608.54380952381,-0.002132323577469695,-2238.9397563431794,33343.83982992699,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.07534775212799359,stop_loss
2020-01-24,short,8341.753333333334,8351.193333333335,-0.0011316565741974918,-1188.2394029073662,32155.600427019624,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.08324243741475476,stop_loss
2020-01-25,short,8332.183333333332,8343.387619047619,-0.0013446998542942146,-1411.9348470089249,30743.6655800107,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.1527454083804252,stop_loss
2020-01-26,short,8345.426666666666,8323.864166666666,0.0025837504613305173,2712.937984397043,33456.60356440774,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.15435698556546307,take_profit
2020-01-27,short,8682.676666666666,8652.484722470237,0.003477262295432228,3651.1254102038383,37107.72897461158,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.23252288440828414,trailing_stop
2020-01-28,short,8989.586666666668,8929.70273809524,0.006661477417363,6994.551288231149,44102.28026284273,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.10441220181668982,take_profit
2020-01-29,short,9355.526666666667,9379.942380952381,-0.002609763742399122,-2740.2519295190773,41362.02833332365,1049999.9999999998,3,"multi_indicator_breakout, multi_indicator_breakout, multi_indicator_breakout",0.37497622009032844,stop_loss
